text,label,source
GASTOS NI VP BINAY SA POLITICAL ADS HALOS P7-M NA Inaasahan na ni Vice President Jejomar Binay na may mga taong . [LINK],0.0,twitter_election
Mar Roxas TANG INA TUWID NA DAAN DAW . . EH SYA NGA DI STRAIGHT,1.0,twitter_election
Salamat sa walang sawang suporta ng mga taga makati ! Ang Pagbabalik Binay In Makati [HASHTAG] [LINK],0.0,twitter_election
[MENTION] putangina mo binay TAKBO PA,1.0,twitter_election
"Binay with selective amnesia , forgetting about the past six years he spent preparing to be president . [HASHTAG]",0.0,twitter_election
It doesn't matter whoever won between Duterte & Miriam as President . As long as they finally changed the country Noynoy failed to do so .,0.0,twitter_election
Nognog ? Pero nognog din ang nag malasakit ? Wtf ? Tangina mo Binay nagpapaawa kapa ! Hahahahaha [HASHTAG] ? ?,1.0,twitter_election
Only Binay o Oily Binay? ? #BinayPaRin ! [HASHTAG] [HASHTAG] ? ? [HASHTAG] [LINK],1.0,twitter_election
What Abi Binay said on running for Makati mayor [HASHTAG] [LINK] [LINK],0.0,twitter_election
Srsly . How can Binay do away with no tax for those earning PhP 30k and below without any compromises ? Nkklk talaga !,1.0,twitter_election
"Sen Grace Poe , puro ka puso . Kaya lugmok bansa natin sa kahirapan at corruption . Puro puso . Walang utak .",1.0,twitter_election
"RT [MENTION] : Sa laki ng ginastos ni Binay tapos sa laki din ng talo niya sa Mayo , siya pa din tameme sa ending ng kwento . Yun na ! https:…",1.0,twitter_election
ENDO na para kay PNoy . No extension para sa kanyang Mar Roxas ! [HASHTAG],1.0,twitter_election
"[MENTION] Pet theory : Contrasted w/ PNoy for past 6 years , Binay hasn't failed much - then again he hasn't done much either .",0.0,twitter_election
"RT [MENTION] : Sino ba si Binay ? Yuan : Nognog , Pandak , Laki sa Hirap .",0.0,twitter_election
BREAKING : VCM Inside Novotel Cubao owned by Mar Roxas [LINK],0.0,twitter_election
"di daw pagsisihan na binoto nila si MDS kahit talo baka dun na kayo magsisi kung si Roxas , Binay or Poe ang mananalo , kayo na matatalino :D",0.0,twitter_election
"RT [MENTION] : So "" anak ni Mar "" pala itong si DJP . Won't be surprised if "" Nese Iye Ne Eng Lehet "" will be Mar Roxas ' campaign jingle . [HASHTAG]",0.0,twitter_election
"Ang kakapal ng mga mukha niyo PNoy at Roxas , matapos niyong batikusin si Poe at Binay sila naman ang yayain niyo ? Anu toh Civil War ?",1.0,twitter_election
walang hindi importante kay VP Binay . [HASHTAG],0.0,twitter_election
"Eh di wow ! Talagang gamit na gamit yung "" PANDAK "" ? SUS ! IBA NA LANG BINAY ! WAG KAME ! [LINK]",1.0,twitter_election
Parang walang gustong maka tandem ni mar roxas sa liberal party dahil alam nilang mahihirapang manalo si roxas .,1.0,twitter_election
Si Senator Nancy Binay ba tinutukoy mo ? Hahahahaha ! ? ? [LINK],0.0,twitter_election
ITO NAMAN SI MAR ROXAS PARANG P***** i** ??? ? MAKIKIPAG SANIB LANG KAY POE PARA TALUNIN SI DUTERTE ? [HASHTAG],1.0,twitter_election
Alma Moreno OK despite being bashed over TV interview : Binay [HASHTAG] [LINK] [LINK] | via ABS-CBN N…,0.0,twitter_election
I will definitely not vote for Binay a big NO ??? ?,0.0,twitter_election
si Mar Roxas yung parang cartoon or anime na hindi nagpapalit ng damit .,0.0,twitter_election
"Political ad on respect not a response to Duterte’s rape remark , Poe clarifies [LINK]",0.0,twitter_election
"RT [MENTION] : Mar Roxas is in Naguilian , Isabela today to attend a sectoral assembly [LINK]",0.0,twitter_election
Sooo not Mar Roxas ? ?,0.0,twitter_election
Nakakairita na tong mga commercial ni binay . ????? ?,1.0,twitter_election
"[HASHTAG] Pagsuporta ng Gobernador ng Ifugao kay VP Binay , pinasalamatan ng UNA I via Allan Francisco",0.0,twitter_election
Haha . Binay at Jollibee . [LINK],0.0,twitter_election
"VPcandidate senTrillanes , campaign more for Presidential CandidateSenGracePoe than his VP bid , also said no to Binay [LINK]",0.0,twitter_election
That Binay commercial tho .,0.0,twitter_election
Mar offered unity talks w Grace Poe . Invitation declined . Bayan bago Sarili Sana . [HASHTAG] [HASHTAG] [HASHTAG],0.0,twitter_election
"Nagrereklamo yung kasabay ko sa jeep , Duterte daw binoto niya Roxas lumabas .",0.0,twitter_election
"Walang drama . Walang hugot . Trabaho lang . At higit sa lahat , hindi tayo pagnanakawan ni [MENTION] ! [HASHTAG] [LINK]",0.0,twitter_election
RT [MENTION] : Galing sa showtime yang cake hindi galing kay binay! ! hahah ItsShowtime ToMiho,0.0,twitter_election
"If Mr.Palengke looses his Presidential bid ,di c Binay di c Duterte At lolong di c Poe ang sisihin kundi ALDUBNATIONS . [HASHTAG] [HASHTAG]",0.0,twitter_election
Binay completes Senate slate [HASHTAG] [LINK] [LINK],0.0,twitter_election
lol binay,1.0,twitter_election
"Mar Roxas , handang humarap sa panibagong imbestigasyon ng Mamasapano clash [LINK]",1.0,twitter_election
O mar roxas debates daw. . [LINK],0.0,twitter_election
Sana kasi President Duterte and Vice President Santiago,0.0,twitter_election
Lonely Binay .,0.0,twitter_election
"BINAY NA KANG TALAGA AKO . Nognog , pandak , laki sa hirap .",1.0,twitter_election
"Mar Roxas ' son , Paolo now stumping for his Dad here in Digos City , Davao del Sur | [MENTION] [LINK]",0.0,twitter_election
Handa na po ang Wheel Chair PNOY Trillianes Mar Roxas,0.0,twitter_election
RT [MENTION] : [MENTION] wow binay ikaw bayan haha,0.0,twitter_election
Talagang mas pinili nila si ROXAS at BINAY over MDS . WTF!! ! ????? ? [HASHTAG],1.0,twitter_election
[MENTION] [MENTION] oy nandito si binay,0.0,twitter_election
Had a lot to say about the controversial paid ads released last night . But it thought me that it only helps make mar roxas's name trend .,0.0,twitter_election
Do you know that [HASHTAG] enormous wealth did not all come from his salary all these years as a gov't . official ? [LINK],0.0,twitter_election
Mar Leni Mar Leni Mar Leni Mar Leni Mar Leni!! ! Think positive . Tandem win!??? ? [HASHTAG],0.0,twitter_election
LOOK : ' Binay ' sign ala Hollywood rises on Banaue Rice Terraces [LINK] [HASHTAG] [LINK] | via ABS-CBN…,0.0,twitter_election
"RT iamkarendavila : JUST IN . Mar Roxas calling on Grace Poe to talk . "" This is for unity . Mag-usap tayo "" ANCALERTS",0.0,twitter_election
Lt yung tvc ni binay haha ? ?,1.0,twitter_election
"Pati ba naman Picos Machine , binayaran ni Mar Roxas????? ?",1.0,twitter_election
RT [MENTION] : [STAFF] Sen . Miriam Defensor Santiago sponsors Senate Resolution No . 1414 on the EDCA .,0.0,twitter_election
RT [MENTION] : [HASHTAG] tanungin na lang natin kng san galing yng binayad ni pamintang [MENTION] sa kanya ! [HASHTAG],0.0,twitter_election
LP to Binay : Where did you get the P600M you spent on TV ads ? | [LINK] | Philippine News [LINK] via [MENTION],0.0,twitter_election
pinaka walang kwenta sa debate na to si binay . nakakaloka..puro ka nanaman makati . [HASHTAG],1.0,twitter_election
"[MENTION] [MENTION] [MENTION] basahin ko padin , panu kung ma retweet ko nanaman yung kay BINAY ? ADN FOR MAINE [HASHTAG] [HASHTAG]",0.0,twitter_election
"He is just endorsing Mar Roxas , hindi naman niya kau pinipilit na iboto siya . [HASHTAG]",0.0,twitter_election
[HASHTAG] [HASHTAG] [HASHTAG] [LINK],0.0,twitter_election
"Madami naman natulungan si Binay , kesa kay dut3rt3 .",0.0,twitter_election
[MENTION] gago hindi ! Hahahaha . Mga anti-Binay girl .,0.0,twitter_election
[HASHTAG] CA dismisses Junjun Binay’s petition against Ombudsman suspension order [2-11-2015] [NY-A1710],0.0,twitter_election
Over motherly naman ' tong si Poe . Yung masungit at mahigpit na nanay ang kelangan ng Pilipinas para may disiplina . [HASHTAG],1.0,twitter_election
Yown ! 1st time nag vote . [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [LINK],0.0,twitter_election
"Nalito yung pari kung san pa pwede paitimin si Binay . Nagtagal tuloy misa . Cause of delay ka , VP ! Hala ! [LINK]",1.0,twitter_election
[MENTION] Duterte Roxas Poe Binay Santiago ang Rank,0.0,twitter_election
"Nung si Binay ginisa sa UPLB , tuwang tuwa kayo . Nung kandidato niyo na , bastos na estudyante ng UPLB .",1.0,twitter_election
[MENTION] salamat sa UNA camp . we fought a good fight guys VP Binay pa rin tlga,0.0,twitter_election
[HASHTAG] kung lumaki man taung mahirap c VP Binay din ay lumaki ng mahirap,0.0,twitter_election
RT [MENTION] : my goodness Jejomar Binay super annoying mo na can you pls stop like really . Oo na laki ka sa hirap punyeta ka,1.0,twitter_election
Re : [HASHTAG] A ' blogger ' seems to have the yellow Koolaid through an IV line . Kanina baka si Binay . Now si Pamatong . Basis ? Nada ? K .,0.0,twitter_election
Bets should be ready but wrong to bash Alma Moreno for interview —VP Binay [HASHTAG] [LINK],0.0,twitter_election
